TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Kategori_Transaksi,Kategori_Umur,bin_Kategori_Transaksi,bin_Kategori_Umur,Target
424.56,355,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,360,tinggi,lansia,2,1,1
85.43,1033,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,22,kecil,lansia,0,1,3
169.5,1666,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8800000000001,155,sedang,dewasa,1,0,2
104.63,603,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,258,kecil,lansia,0,1,1
316.95,1415,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.0299999999997,172,sedang,muda,1,2,2
60.539999999999964,2366,Credit,Columbus,Branch,57.0,Retired,52.0,1.0,3534.93,214,kecil,lansia,0,1,0
292.56,446,Credit,Dallas,Branch,68.0,Retired,61.00000000000001,1.0,4638.37,86,sedang,lansia,1,1,1
386.52,1054,Debit,Indianapolis,Branch,48.0,Engineer,27.999999999999986,1.0,5630.61,46,tinggi,lansia,2,1,3
112.07,1833,Debit,Kansas City,Branch,23.0,Student,51.0,1.0,930.3000000000002,313,kecil,muda,0,2,2
568.52,1864,Debit,Indianapolis,ATM,46.0,Engineer,152.0,1.0,5499.91,360,tinggi,lansia,2,1,2
263.99,885,Debit,Dallas,Branch,79.0,Retired,227.0,1.0,4175.02,279,sedang,lansia,1,1,3
349.64,2091,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,106,tinggi,lansia,2,1,0
601.4,984,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,98,tinggi,lansia,2,1,3
5.769999999999982,2057,Debit,Charlotte,Online,50.0,Doctor,124.0,1.0,13988.12,308,kecil,lansia,0,1,0
201.33,602,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,317,sedang,dewasa,1,0,1
298.42,756,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,229,sedang,lansia,1,1,3
521.06,721,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,346,tinggi,muda,2,2,3
117.28,259,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,48,kecil,lansia,0,1,1
189.12,2123,Credit,Indianapolis,,32.0,Engineer,103.0,1.0,977.0100000000002,139,sedang,dewasa,1,0,0
133.55000000000004,1300,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.28,235,sedang,dewasa,1,0,2
143.21,92,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,183,sedang,dewasa,1,0,1
24.769999999999982,1222,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,351,kecil,lansia,0,1,3
233.92,1976,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,142,sedang,dewasa,1,0,0
905.2875,1849,Debit,Indianapolis,Branch,20.0,Student,24.0,1.0,605.9499999999998,28,tinggi,muda,2,2,2
232.12,2461,Debit,,ATM,37.0,Engineer,51.0,1.0,6689.87,174,sedang,dewasa,1,0,0
91.53,499,Debit,Milwaukee,Branch,44.0,Doctor,69.0,1.0,14676.05,312,kecil,dewasa,0,0,1
120.29000000000002,2391,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.3900000000003,27,sedang,muda,1,2,0
174.25,1298,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,246,sedang,lansia,1,1,2
183.71,1125,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.5200000000004,208,sedang,dewasa,1,0,3
345.39,2485,Credit,Phoenix,,58.0,Engineer,80.0,1.0,6451.96,113,tinggi,lansia,2,1,0
905.2875,145,Debit,Detroit,ATM,63.0,Retired,87.0,1.0,4715.84,283,tinggi,lansia,2,1,1
259.91,2076,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,195,sedang,lansia,1,1,0
154.71,1204,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.7200000000003,199,sedang,dewasa,1,0,3
905.2875,1825,Credit,Austin,Online,54.0,Engineer,30.0,1.0,8654.28,30,tinggi,lansia,2,1,2
24.560000000000002,1977,Debit,Mesa,Branch,64.0,Doctor,69.0,1.0,9869.93,341,kecil,lansia,0,1,0
568.07,1585,,Washington,ATM,48.0,Doctor,115.0,1.0,10556.81,69,tinggi,lansia,2,1,2
9.610000000000014,1149,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,167,kecil,lansia,0,1,3
392.96,2166,Debit,Kansas City,Online,24.0,Student,100.0,1.0,791.6499999999996,135,tinggi,muda,2,2,0
716.93,1711,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,109,tinggi,lansia,2,1,2
223.85,1834,Debit,Kansas City,ATM,53.0,Engineer,55.0,1.0,2929.91,98,sedang,lansia,1,1,2
230.66,592,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.0500000000002,260,sedang,muda,1,2,1
644.17,430,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.5199999999995,101,tinggi,dewasa,2,0,1
508.68,1160,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,189,tinggi,lansia,2,1,3
858.63,719,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,263,tinggi,dewasa,2,0,3
25.360000000000014,1293,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.03999999999996,281,kecil,lansia,0,1,2
147.62,1622,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,59,sedang,lansia,1,1,2
115.01999999999998,1680,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,135,kecil,dewasa,0,0,2
383.37,162,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,283,tinggi,dewasa,2,0,1
98.54000000000002,1469,Credit,El Paso,Online,20.0,Student,167.0,1.0,9383.43,219,kecil,muda,0,2,2
83.23999999999998,1942,,Fort Worth,Branch,55.0,Doctor,164.0,1.0,1181.3100000000004,268,kecil,lansia,0,1,0
196.16,377,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,129,sedang,dewasa,1,0,1
129.94,9,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.92,12,sedang,dewasa,1,0,1
306.9,2265,Debit,Colorado Springs,Online,46.0,Engineer,51.0,1.0,9418.08,264,sedang,lansia,1,1,0
114.98000000000002,2052,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,181,kecil,lansia,0,1,0
756.59,457,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.64999999999964,316,tinggi,dewasa,2,0,1
503.76,2245,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.8199999999997,179,tinggi,muda,2,2,0
143.03,1384,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.45,258,sedang,lansia,1,1,2
905.2875,2195,Debit,Columbus,ATM,53.0,Retired,73.0,1.0,1829.9,72,tinggi,lansia,2,1,0
245.54,555,,New York,ATM,25.0,Student,180.0,1.0,985.0599999999995,243,sedang,muda,1,2,1
254.37,732,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,33,sedang,lansia,1,1,3
213.76,429,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,193,sedang,lansia,1,1,1
327.86,267,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.15999999999985,7,sedang,dewasa,1,0,1
2.5,1320,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,210,kecil,lansia,0,1,2
300.08,1875,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,354,sedang,lansia,1,1,2
56.97999999999999,2478,Credit,Oklahoma City,ATM,43.0,Engineer,122.0,1.0,5688.37,79,kecil,dewasa,0,0,0
407.65,1236,Debit,Boston,Online,26.0,Engineer,62.0,1.0,8346.64,360,tinggi,dewasa,2,0,3
115.82999999999998,928,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,219,kecil,dewasa,0,0,3
53.56999999999999,1508,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,140,kecil,lansia,0,1,2
63.34,2155,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,230,kecil,lansia,0,1,0
317.87,2485,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,308,sedang,dewasa,1,0,0
331.65,1568,Debit,Portland,Online,41.0,Engineer,61.00000000000001,1.0,4172.57,276,tinggi,dewasa,2,0,2
5.0400000000000205,2231,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,264,kecil,lansia,0,1,0
214.54,1414,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,332,sedang,lansia,1,1,2
598.81,1633,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,230,tinggi,lansia,2,1,2
841.28,1452,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.6400000000003,215,tinggi,dewasa,2,0,2
38.14999999999998,1661,Debit,Mesa,Online,26.0,Student,108.0,1.0,303.6800000000003,79,kecil,dewasa,0,0,2
905.2875,1265,Debit,San Antonio,Branch,58.0,Doctor,144.0,1.0,5541.57,181,tinggi,lansia,2,1,2
124.72,1208,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,62,sedang,dewasa,1,0,3
302.45,1795,Credit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,331,sedang,lansia,1,1,2
208.04,2179,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,142,sedang,lansia,1,1,0
5.769999999999982,2159,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.9699999999998,269,kecil,muda,0,2,0
381.33,1530,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,189,tinggi,lansia,2,1,2
16.160000000000025,1932,Debit,Milwaukee,ATM,50.0,Doctor,124.0,1.0,14401.17,335,kecil,lansia,0,1,0
486.08,1130,Debit,Oklahoma City,Online,18.0,Student,68.0,1.0,1748.69,40,tinggi,muda,2,2,3
336.39,101,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,214,tinggi,muda,2,2,1
905.2875,2193,Debit,Seattle,Online,69.0,Doctor,118.0,1.0,6810.05,122,tinggi,lansia,2,1,0
234.57,1617,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.97999999999956,144,sedang,muda,1,2,2
6.0,1997,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,200,kecil,dewasa,0,0,0
905.2875,1989,Debit,Detroit,ATM,80.0,Retired,21.0,1.0,2037.85,251,tinggi,lansia,2,1,0
227.14,1210,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.9399999999996,310,sedang,muda,1,2,3
233.74,2002,Credit,Oklahoma City,Online,66.0,Retired,17.0,1.0,1066.5900000000001,293,sedang,lansia,1,1,0
45.849999999999994,316,Debit,Los Angeles,ATM,20.0,Student,92.0,1.0,1659.15,61,kecil,muda,0,2,1
905.2875,1606,Debit,Sacramento,Branch,77.0,Retired,296.0,1.0,2042.2200000000003,320,tinggi,lansia,2,1,2
415.5,1372,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,240,tinggi,lansia,2,1,2
265.76,240,Debit,Philadelphia,Online,54.0,Retired,92.0,1.0,4446.17,354,sedang,lansia,1,1,1
69.4,1344,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,161,kecil,lansia,0,1,2
332.93,2170,Credit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,111,tinggi,dewasa,2,0,0
267.9,1874,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.1599999999999,131,sedang,muda,1,2,2
496.03,2065,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,198,tinggi,lansia,2,1,0
376.26,308,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,215,tinggi,dewasa,2,0,1
83.01999999999998,1641,Credit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,277,kecil,dewasa,0,0,2
93.25999999999999,1364,Credit,New York,Online,20.0,Student,72.0,1.0,1152.1999999999998,340,kecil,muda,0,2,2
803.37,703,Credit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,137,tinggi,lansia,2,1,3
35.75999999999999,1749,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.8599999999997,316,kecil,muda,0,2,2
28.529999999999973,989,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,7,kecil,lansia,0,1,3
139.53,1876,Credit,Louisville,Online,53.0,Doctor,177.0,1.0,10098.86,68,sedang,lansia,1,1,2
307.57,52,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,10,sedang,dewasa,1,0,1
60.650000000000006,964,Credit,Tucson,Branch,56.0,Retired,53.0,1.0,1047.2799999999997,179,kecil,lansia,0,1,3
74.86000000000001,1497,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,76,kecil,lansia,0,1,2
231.91,204,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76000000000022,351,sedang,dewasa,1,0,1
126.20999999999998,297,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,139,sedang,lansia,1,1,1
506.28,798,Credit,Chicago,Online,53.0,Retired,162.0,1.0,1309.9499999999998,166,tinggi,lansia,2,1,3
304.35,2295,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,142,sedang,dewasa,1,0,0
281.85,890,Debit,Detroit,ATM,22.0,Student,109.0,1.0,1585.98,75,sedang,muda,1,2,3
777.88,544,Debit,Houston,Branch,31.0,Engineer,17.0,1.0,6825.55,172,tinggi,dewasa,2,0,1
119.18,1571,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,71,kecil,lansia,0,1,2
177.19,876,Debit,Chicago,Online,76.0,Retired,43.000000000000014,1.0,5343.3,7,sedang,lansia,1,1,3
260.88,970,Debit,Denver,Branch,22.0,Student,36.0,1.0,903.0500000000002,29,sedang,muda,1,2,3
169.47,560,Debit,Chicago,Online,24.0,Student,19.0,1.0,1806.1599999999999,74,sedang,muda,1,2,1
73.23000000000002,905,Debit,Portland,Branch,26.0,Student,13.999999999999986,1.0,787.7399999999998,288,kecil,dewasa,0,0,3
905.2875,270,Debit,El Paso,ATM,29.0,Engineer,106.0,1.0,2429.68,281,tinggi,dewasa,2,0,1
792.57,916,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.3699999999999,255,tinggi,muda,2,2,3
237.06,2381,Debit,Phoenix,Online,71.0,Retired,46.0,1.0,1182.7699999999995,87,sedang,lansia,1,1,0
34.170000000000016,2189,Credit,Philadelphia,Online,54.0,Engineer,54.0,1.0,726.5500000000002,6,kecil,lansia,0,1,0
740.25,1310,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,124,tinggi,dewasa,2,0,2
453.54,723,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,342,tinggi,lansia,2,1,3
300.47,2116,Debit,Jacksonville,Branch,73.0,Retired,100.0,1.0,7885.64,97,sedang,lansia,1,1,0
110.93,656,Credit,Virginia Beach,Branch,19.0,Student,201.0,1.0,1952.35,269,kecil,muda,0,2,3
201.69,22,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,233,sedang,lansia,1,1,1
399.21,181,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,118,tinggi,lansia,2,1,1
905.2875,1657,Debit,Jacksonville,Online,78.0,Retired,57.0,1.0,5726.2,21,tinggi,lansia,2,1,2
630.36,434,Debit,Mesa,ATM,62.0,Retired,52.0,1.0,1363.65,351,tinggi,lansia,2,1,1
10.939999999999998,1993,Credit,Philadelphia,ATM,60.0,Engineer,245.0,1.0,1241.9899999999998,329,kecil,lansia,0,1,0
215.9,28,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.28,240,sedang,dewasa,1,0,1
905.2875,1259,Debit,Washington,Branch,79.0,Retired,165.0,1.0,5674.32,27,tinggi,lansia,2,1,2
226.37,1735,,Louisville,Branch,49.0,Doctor,141.0,1.0,9840.04,213,sedang,lansia,1,1,2
444.89,1683,Credit,Las Vegas,Branch,43.0,Doctor,101.0,1.0,10328.23,326,tinggi,dewasa,2,0,2
280.57,174,Credit,Virginia Beach,Online,25.0,Student,24.0,1.0,293.2399999999998,241,sedang,muda,1,2,1
488.54,1211,Debit,Jacksonville,Branch,52.0,Engineer,132.0,1.0,7486.63,63,tinggi,lansia,2,1,3
3.3000000000000114,577,Credit,Los Angeles,Branch,50.0,Doctor,131.0,1.0,11385.37,228,kecil,lansia,0,1,1
199.39,1526,,Colorado Springs,Branch,69.0,Retired,165.0,1.0,7264.79,163,sedang,lansia,1,1,2
20.360000000000014,1338,Debit,Tucson,Branch,62.0,Retired,75.0,1.0,2762.48,291,kecil,lansia,0,1,2
493.11,1380,Debit,Colorado Springs,Branch,53.0,Retired,236.0,1.0,7432.99,98,tinggi,lansia,2,1,2
307.41,1073,Debit,Los Angeles,ATM,19.0,Student,13.999999999999986,1.0,1057.0000000000005,205,sedang,muda,1,2,3
11.180000000000007,2267,Debit,Atlanta,Online,43.0,Doctor,161.0,1.0,5956.89,237,kecil,dewasa,0,0,0
313.82,2147,Debit,Tucson,Branch,59.0,Engineer,151.0,1.0,7261.59,139,sedang,lansia,1,1,0
140.98,954,Debit,Memphis,Branch,60.0,Engineer,100.0,1.0,8127.48,349,sedang,lansia,1,1,3
288.04,1558,Debit,Denver,ATM,68.0,Retired,63.0,1.0,1748.02,217,sedang,lansia,1,1,2
800.55,805,Debit,Oklahoma City,ATM,31.0,Engineer,108.0,1.0,9660.22,26,tinggi,dewasa,2,0,3
485.54,238,Debit,Houston,ATM,46.0,Engineer,143.0,1.0,6371.51,322,tinggi,lansia,2,1,1
521.15,327,Debit,Kansas City,ATM,54.0,Doctor,214.0,1.0,9442.47,68,tinggi,lansia,2,1,1
304.93,375,Debit,Portland,ATM,65.0,Doctor,158.0,1.0,13531.22,112,sedang,lansia,1,1,1
432.08,1377,,El Paso,ATM,40.0,Doctor,145.0,1.0,11500.62,322,tinggi,dewasa,2,0,2
694.2,2320,Debit,Milwaukee,ATM,61.0,Retired,72.0,1.0,1389.37,60,tinggi,lansia,2,1,0
116.86000000000001,552,Debit,Louisville,ATM,55.0,Engineer,171.0,1.0,6706.56,351,kecil,lansia,0,1,1
74.88,950,Debit,Atlanta,ATM,25.0,Student,202.0,1.0,420.6700000000001,83,kecil,muda,0,2,3
890.24,1243,Credit,Las Vegas,Online,33.0,Engineer,161.0,1.0,5140.93,69,tinggi,dewasa,2,0,3
361.27,41,Debit,Omaha,ATM,63.0,Doctor,180.0,1.0,7945.57,224,tinggi,lansia,2,1,1
131.56,1968,Debit,Charlotte,Branch,44.0,Doctor,42.0,1.0,5873.54,49,sedang,dewasa,1,0,0
485.51,2251,Credit,Milwaukee,Online,76.0,Retired,37.0,1.0,3074.45,99,tinggi,lansia,2,1,0
547.87,1256,Debit,Columbus,ATM,64.0,Retired,131.0,1.0,6155.76,248,tinggi,lansia,2,1,2
457.3,1172,Debit,Virginia Beach,Online,28.0,Engineer,15.0,1.0,8318.29,90,tinggi,dewasa,2,0,3
506.24,91,Debit,Chicago,ATM,58.0,Engineer,64.0,1.0,230.09000000000015,316,tinggi,lansia,2,1,1
486.59,2395,Debit,Indianapolis,Branch,57.0,Retired,119.0,1.0,2513.56,219,tinggi,lansia,2,1,0
163.68,1817,Debit,San Diego,Branch,41.0,Doctor,292.0,1.0,10090.05,277,sedang,dewasa,1,0,2
581.65,61,Debit,Boston,ATM,22.0,Student,176.0,1.0,480.1899999999996,196,tinggi,muda,2,2,1
52.01000000000002,2090,Debit,Mesa,ATM,48.0,Doctor,85.0,1.0,1120.8799999999997,303,kecil,lansia,0,1,0
630.24,2262,Debit,Boston,ATM,21.0,Student,62.0,1.0,370.8100000000004,328,tinggi,muda,2,2,0
523.74,2060,Debit,Oklahoma City,ATM,43.0,Doctor,159.0,1.0,13498.55,29,tinggi,dewasa,2,0,0
705.6,346,Debit,Phoenix,Branch,40.0,Doctor,124.0,1.0,14804.7,161,tinggi,dewasa,2,0,1
217.5,2000,Credit,Denver,Branch,46.0,Engineer,35.0,1.0,3057.4,35,sedang,lansia,1,1,0
91.48000000000002,148,Debit,Fort Worth,ATM,51.0,Doctor,141.0,1.0,14942.78,174,kecil,lansia,0,1,1
5.25,2132,Debit,San Jose,ATM,39.0,Doctor,49.0,1.0,14143.32,358,kecil,dewasa,0,0,0
54.03,1747,Credit,Milwaukee,ATM,56.0,Retired,161.0,1.0,6736.3,73,kecil,lansia,0,1,2
736.73,2220,Debit,Memphis,Branch,48.0,Engineer,10.0,1.0,3313.07,270,tinggi,lansia,2,1,0
368.91,489,,Virginia Beach,Branch,54.0,Doctor,13.999999999999986,1.0,829.71,245,tinggi,lansia,2,1,1
33.06,111,Credit,Fort Worth,Online,53.0,Retired,170.0,1.0,1540.87,20,kecil,lansia,0,1,1
66.5,809,Credit,Louisville,Online,32.0,Engineer,144.0,1.0,6820.23,103,kecil,dewasa,0,0,3
177.08,42,Debit,Las Vegas,,35.0,Doctor,85.0,1.0,13475.14,357,sedang,dewasa,1,0,1
588.54,241,Debit,Portland,Branch,32.0,Engineer,130.0,1.0,714.4499999999998,253,tinggi,dewasa,2,0,1
173.5,1991,Debit,Nashville,ATM,21.0,Student,282.0,1.0,1306.9099999999999,328,sedang,muda,1,2,0
